Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Isaiah;Collier;G;1642268.0;22500786;11/02/2026;Jazz;Kings;1.0;26.38;12.0;14.0;2.0;1.0;0.0;1.0
Devin;Carter;G;1642269.0;22500786;11/02/2026;Kings;Jazz;0.0;29.48;19.0;4.0;1.0;4.0;1.0;5.0
Kyle;Filipowski;C;1642271.0;22500786;11/02/2026;Jazz;Kings;1.0;8.09;4.0;1.0;0.0;2.0;0.0;2.0
Nique;Clifford;G;1642363.0;22500786;11/02/2026;Kings;Jazz;0.0;38.13;6.0;6.0;0.0;5.0;3.0;8.0
Blake;Hinson;;1642396.0;22500786;11/02/2026;Jazz;Kings;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Ace;Bailey;F;1642846.0;22500786;11/02/2026;Jazz;Kings;1.0;30.58;13.0;4.0;3.0;2.0;2.0;4.0
Maxime;Raynaud;C;1642875.0;22500786;11/02/2026;Kings;Jazz;0.0;27.38;7.0;1.0;0.0;3.0;1.0;4.0
Dylan;Cardwell;C;1642928.0;22500786;11/02/2026;Kings;Jazz;0.0;26.52;6.0;3.0;0.0;7.0;3.0;10.0
Kevin;Love;F-C;201567.0;22500786;11/02/2026;Jazz;Kings;1.0;15.43;5.0;1.0;1.0;9.0;0.0;9.0
DeMar;DeRozan;G-F;201942.0;22500786;11/02/2026;Kings;Jazz;0.0;29.28;20.0;1.0;1.0;1.0;2.0;3.0
Doug;McDermott;F;203926.0;22500786;11/02/2026;Kings;Jazz;0.0;18.55;14.0;0.0;4.0;0.0;0.0;0.0
Jusuf;Nurkic;C;203994.0;22500786;11/02/2026;Jazz;Kings;1.0;26.08;8.0;4.0;0.0;9.0;0.0;9.0
Jamal;Murray;G;1627750.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;33.06;23.0;7.0;1.0;5.0;1.0;6.0
Bruce;Brown;G-F;1628971.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;29.05;10.0;2.0;2.0;3.0;0.0;3.0
Jalen;Pickett;G;1629618.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;8.41;3.0;0.0;1.0;1.0;0.0;1.0
Ty;Jerome;;1629660.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;20.58;19.0;7.0;3.0;1.0;0.0;1.0
Cameron;Johnson;F;1629661.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;28.48;5.0;1.0;1.0;4.0;0.0;4.0
Zeke;Nnaji;F-C;1630192.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Scotty;Pippen Jr.;;1630590.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;17.43;8.0;3.0;1.0;0.0;0.0;0.0
Julian;Strawther;G;1631124.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;25.18;11.0;2.0;1.0;1.0;0.0;1.0
Christian;Braun;G;1631128.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;39.08;14.0;6.0;0.0;7.0;0.0;7.0
Peyton;Watson;G;1631212.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Taylor;Hendricks;F;1641707.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;19.55;10.0;1.0;2.0;2.0;0.0;2.0
GG;Jackson;F;1641713.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;28.13;21.0;3.0;3.0;3.0;2.0;5.0
DaRon;Holmes II;F;1641747.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Olivier-Maxence;Prosper;F;1641765.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;22.58;14.0;0.0;2.0;4.0;1.0;5.0
Cam;Spencer;G;1642285.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;21.52;2.0;9.0;0.0;2.0;0.0;2.0
