Nome;Sobrenome;POS;player_id;image_path
Jabari;Walker;F;1631133.0;assets/players/1631133.png
Jacob;Toppin;F;1631210.0;assets/players/1631210.png
Jaden;McDaniels;F;1630183.0;assets/players/1630183.png
Jaden;Ivey;G;1631093.0;assets/players/1631093.png
Jaden;Hardy;G;1630702.0;assets/players/1630702.png
Jae'Sean;Tate;F;1630256.0;assets/players/1630256.png
Jahmai;Mashack;G;;perfiljogador.png
Jahmir;Young;G;1642443.0;assets/players/1642443.png
Jahmyl;Telfort;G;1643141.0;assets/players/1643141.png
Jaime;Jaquez Jr.;G;1631170.0;assets/players/1631170.png
Jake;LaRavia;F;1631222.0;assets/players/1631222.png
Jakob;Poeltl;C;1627751.0;assets/players/1627751.png
Ja'Kobe;Walter;G;1642266.0;assets/players/1642266.png
Jalen;Brunson;G;1628973.0;assets/players/1628973.png
Jalen;Johnson;F;1630552.0;assets/players/1630552.png
Jalen;Duren;C;1631105.0;assets/players/1631105.png
Jalen;Williams;G-F;1631114.0;assets/players/1631114.png
Jalen;Suggs;G;1630591.0;assets/players/1630591.png
Jalen;Green;G;1630224.0;assets/players/1630224.png
Jalen;Smith;F-C;1630188.0;assets/players/1630188.png
Jalen;Pickett;G;1629618.0;assets/players/1629618.png
Jalen;Wilson;F;1630592.0;assets/players/1630592.png
Jamal;Murray;G;1627750.0;assets/players/1627750.png
Jamal;Shead;G;1642347.0;assets/players/1642347.png
Jamal;Cain;F;1631288.0;assets/players/1631288.png
Jamaree;Bouyea;G;;perfiljogador.png
James;Harden;G;201935.0;assets/players/201935.png
James;Wiseman;C;1630164.0;assets/players/1630164.png
Jamir;Watkins;F;1642364.0;assets/players/1642364.png
Jamison;Battle;F;1642419.0;assets/players/1642419.png
Jarace;Walker;F;1641716.0;assets/players/1641716.png
Jared;McCain;G;1642272.0;assets/players/1642272.png
Jaren;Jackson Jr.;F-C;1628991.0;assets/players/1628991.png
Jarred;Vanderbilt;F;1629020.0;assets/players/1629020.png
Jarrett;Allen;C;1628386.0;assets/players/1628386.png
Jase;Richardson;G;1642859.0;assets/players/1642859.png
Javon;Small;G;1642914.0;assets/players/1642914.png
Javonte;Green;G;1629750.0;assets/players/1629750.png
Javonte;Cooke;G;1631451.0;assets/players/1631451.png
Jaxson;Hayes;C-F;1629637.0;assets/players/1629637.png
Jay;Huff;C;1630643.0;assets/players/1630643.png
Jaylen;Brown;G-F;1627759.0;assets/players/1627759.png
Jaylen;Wells;F;1642377.0;assets/players/1642377.png
Jaylen;Clark;G;1641740.0;assets/players/1641740.png
Jaylin;Williams;F;1631119.0;assets/players/1631119.png
Jaylon;Tyson;G-F;1642281.0;assets/players/1642281.png
JD;Davison;G;1631120.0;assets/players/1631120.png
